cost_kWh,base_fade,cost_BDT_yr,SoH_loss_final_pct
23191.75106083785,8.11339132745601e-07,26415.989992478175,1.805912683154741e-07
19599.49606907417,9.115393564075598e-07,25081.37010637085,2.028942545098815e-07
23942.311864747382,8.488279489792325e-07,28530.979494876894,1.8893568632519873e-07
22366.667638394738,8.974053849430647e-07,28178.69541365266,1.99748255839178e-07
20587.43221311405,8.104711283410368e-07,23424.517707914314,1.8039806425320567e-07
20192.668490136497,8.425336413656386e-07,23884.265672690188,1.8753467292743524e-07
24841.387892906037,7.322097965383877e-07,25535.379622856683,1.6297832865821458e-07
20837.692497954107,8.75165811939293e-07,25601.82330003951,1.9479807836905584e-07
28081.153136417255,7.047694698002298e-07,27783.883387633326,1.5687054560100425e-07
24778.186941123793,8.623354012219194e-07,29996.920205975523,1.9194223171881678e-07
22529.950123534436,9.15430101864286e-07,28954.51846076012,2.0376027295810528e-07
24872.7887182216,6.82272907936494e-07,23823.937133845466,1.5186316647217897e-07
19418.917161885096,8.366015169734142e-07,22807.337227513246,1.862142757907024e-07
28402.168447117874,6.704306394335791e-07,26732.29714028264,1.4922726466199904e-07
23830.11299465184,8.722290010468565e-07,29180.152108960003,1.9414439067859106e-07
26714.25818160275,6.670378300235265e-07,25016.382641329626,1.4847207890824333e-07
19994.20799925541,9.395007432642003e-07,26371.343821608356,2.0911801731448376e-07
23871.919976046338,6.839705376120967e-07,22922.16697624477,1.5224103200814716e-07
23910.7871458034,9.468416786909057e-07,31783.53273489891,2.1075199352224275e-07
28203.133967759837,8.962829363472309e-07,35487.338235364354,1.994984165212404e-07
24688.589302810324,8.299782414292333e-07,28766.956031472695,1.8474003933069303e-07
23745.498250146757,8.904397134814549e-07,29683.611249273716,1.9819780745927e-07
21762.96636568218,8.944367484745874e-07,27327.421298751524,1.9908748427846637e-07
22383.0623744885,9.427286601015456e-07,29623.55277196777,2.0983650058756472e-07
24198.455063726764,7.210826732285399e-07,24496.476819419215,1.6050160686565422e-07
23413.55001892845,8.288242865146589e-07,27243.359612494267,1.8448318720413832e-07
19407.475966851172,6.704157432206084e-07,18266.030918064444,1.4922394900041506e-07
